trial,params,mean_reward,std_reward
40,"{'learning_rate': 9.770099572992247e-05, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.7, 's_min': 8.0}",201.32333,0.44547886
41,"{'learning_rate': 1.5199110829529332e-05, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.7, 's_min': 10.0}",38.10842,0.53153175
42,"{'learning_rate': 2.4201282647943835e-05, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.7, 's_min': 5.0}",236.9784,0.24592905
43,"{'learning_rate': 0.00010235310218990269, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.3, 's_min': 5.0}",373.881,2.672044
44,"{'learning_rate': 0.00016297508346206434, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.7, 's_min': 10.0}",-933.38684,191.9138
45,"{'learning_rate': 0.0001232846739442066, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.3, 'beta': 0.3, 's_min': 8.0}",-44.707012,10.910008
46,"{'learning_rate': 0.00035938136638046257, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.7, 'beta': 0.5, 's_min': 8.0}",262.13232,60.901894
47,"{'learning_rate': 0.0006892612104349695, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 20, 'gamma': 0.95, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.3, 's_min': 5.0}",418.90323,14.807313
48,"{'learning_rate': 0.00037649358067924713, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 10.0}",100.83303,1.9028895
49,"{'learning_rate': 1.3219411484660286e-05, 'n_steps': 4096, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'alpha': 0.3, 'beta': 0.3, 's_min': 10.0}",15.108584,5.409599
